glass,spot,PDGFRA-PDGFRB-FAP-SMA+PanEpiMask-,PDGFRA-PDGFRB-FAP+SMA-PanEpiMask-,PDGFRA-PDGFRB-FAP+SMA+PanEpiMask-,PDGFRA-PDGFRB+FAP-SMA-PanEpiMask-,PDGFRA-PDGFRB+FAP-SMA+PanEpiMask-,PDGFRA-PDGFRB+FAP+SMA-PanEpiMask-,PDGFRA-PDGFRB+FAP+SMA+PanEpiMask-,PDGFRA+PDGFRB-FAP-SMA-PanEpiMask-,PDGFRA+PDGFRB-FAP-SMA+PanEpiMask-,PDGFRA+PDGFRB-FAP+SMA-PanEpiMask-,PDGFRA+PDGFRB-FAP+SMA+PanEpiMask-,PDGFRA+PDGFRB+FAP-SMA-PanEpiMask-,PDGFRA+PDGFRB+FAP-SMA+PanEpiMask-,PDGFRA+PDGFRB+FAP+SMA-PanEpiMask-,PDGFRA+PDGFRB+FAP+SMA+PanEpiMask-
BOMI2_01_ostmanpanel_011118KV_resscan2,4,0.9608103620059781,0.0,0.00033211557622052476,0.010793756227167054,0.008136831617402857,0.0,0.0,0.0029890401859847225,0.01262039189637994,0.0,0.00033211557622052476,0.0018266356692128861,0.0016605778811026237,0.0,0.0004981733643307871
BOMI2_01_ostmanpanel_011118KV_resscan2,5,0.9742793791574279,0.0,0.0011825572801182557,0.0010347376201034738,0.005321507760532151,0.0,0.0,0.0016260162601626016,0.009312638580931265,0.0,0.0016260162601626016,0.0004434589800443459,0.003547671840354767,0.0,0.0016260162601626016
BOMI2_01_ostmanpanel_011118KV_resscan2,11,0.12077294685990338,0.05555555555555555,0.09420289855072464,0.04589371980676329,0.09178743961352658,0.06280193236714976,0.39371980676328505,0.028985507246376812,0.0024154589371980675,0.0,0.00966183574879227,0.004830917874396135,0.024154589371980676,0.0024154589371980675,0.06280193236714976
BOMI2_01_ostmanpanel_011118KV_resscan2,12,0.14866696791685494,0.15634884771802982,0.2602801626751017,0.026208766380478987,0.031631269769543606,0.028920018075011298,0.08043380027112516,0.06235878897424311,0.01717126073203796,0.022593764121102575,0.031179394487121554,0.02937189335743335,0.016719385449615907,0.033438770899231814,0.054676909173068236
BOMI2_01_ostmanpanel_011118KV_resscan2,13,0.10390848427073403,0.002859866539561487,0.011439466158245948,0.044804575786463297,0.2440419447092469,0.0009532888465204957,0.05910390848427073,0.032411820781696854,0.027645376549094377,0.008579599618684462,0.008579599618684462,0.06291706387035272,0.2469018112488084,0.0076263107721639654,0.13822688274547187
BOMI2_01_ostmanpanel_011118KV_resscan2,14,0.055841293166789124,0.16531961792799413,0.35831496448689687,0.02449179524859172,0.0014695077149155032,0.0668626010286554,0.17585108988488857,0.008327210384521186,0.0024491795248591723,0.008082292432035268,0.02890031839333823,0.0031839333823169237,0.0004898359049718344,0.016164584864070537,0.08425177565515553
BOMI2_01_ostmanpanel_011118KV_resscan2,15,0.2595936794582393,0.008803611738148984,0.005417607223476298,0.05327313769751693,0.29390519187358916,0.001128668171557562,0.015575620767494356,0.02437923250564334,0.013769751693002256,0.001128668171557562,0.0002257336343115124,0.10790067720090293,0.20225733634311513,0.002257336343115124,0.01038374717832957
BOMI2_01_ostmanpanel_011118KV_resscan2,16,0.017528483786152498,0.0026292725679228747,0.0008764241893076249,0.10692375109553023,0.07011393514460999,0.019281332164767746,0.04645048203330412,0.08851884312007012,0.006134969325153374,0.0026292725679228747,0.0008764241893076249,0.3567046450482033,0.09728308501314636,0.08676599474145487,0.09728308501314636
BOMI2_01_ostmanpanel_011118KV_resscan2,17,0.08888888888888889,0.013071895424836602,0.01764705882352941,0.020261437908496733,0.06928104575163399,0.00130718954248366,0.009150326797385621,0.34901960784313724,0.02875816993464052,0.03137254901960784,0.028104575163398694,0.14575163398692811,0.0542483660130719,0.05947712418300653,0.08366013071895424
BOMI2_01_ostmanpanel_011118KV_resscan2,18,0.11969008816457387,0.0005343307507347048,0.0,0.07908095110873631,0.14800961795351322,0.0,0.0032059845044082286,0.05102858669516431,0.04247929468340903,0.0005343307507347048,0.0002671653753673524,0.1891530857600855,0.3283462463264761,0.0056104728827144,0.03205984504408229
BOMI2_01_ostmanpanel_011118KV_resscan2,19,0.10681926561754888,0.01335240820219361,0.020982355746304245,0.031473533619456366,0.10491177873152122,0.010491177873152123,0.1492608488316643,0.028135431568907965,0.023366714353838816,0.002384358607534573,0.008106819265617548,0.04148783977110158,0.10634239389604197,0.030996661897949453,0.3218884120171674
BOMI2_01_ostmanpanel_011118KV_resscan2,20,0.03824091778202677,0.0009560229445506692,0.0014340344168260039,0.14340344168260039,0.08508604206500955,0.01768642447418738,0.02390057361376673,0.03441682600382409,0.004302103250478011,0.0009560229445506692,0.0004780114722753346,0.3986615678776291,0.21175908221797324,0.01577437858508604,0.022944550669216062
BOMI2_01_ostmanpanel_011118KV_resscan2,21,0.36464088397790057,0.04419889502762431,0.15193370165745856,0.04143646408839779,0.06629834254143646,0.06077348066298342,0.1132596685082873,0.08287292817679558,0.0,0.0027624309392265192,0.0027624309392265192,0.016574585635359115,0.0055248618784530384,0.024861878453038673,0.022099447513812154
BOMI2_01_ostmanpanel_011118KV_resscan2,22,0.10904522613065326,0.053768844221105526,0.10100502512562815,0.054773869346733665,0.06532663316582915,0.04271356783919598,0.0814070351758794,0.16834170854271358,0.023115577889447236,0.016582914572864323,0.01306532663316583,0.09447236180904522,0.09597989949748743,0.03165829145728643,0.04874371859296482
BOMI2_01_ostmanpanel_011118KV_resscan2,23,0.10233682514101532,0.0032232070910556,0.016116035455278,0.024174053182917002,0.20789685737308622,0.0040290088638195,0.10556003223207092,0.0257856567284448,0.015310233682514102,0.004834810636583401,0.011281224818694601,0.0749395648670427,0.23771152296535053,0.020145044319097503,0.14665592264302982
BOMI2_01_ostmanpanel_011118KV_resscan2,24,0.26196721311475407,0.15934426229508197,0.30327868852459017,0.016065573770491802,0.04819672131147541,0.024262295081967214,0.1737704918032787,0.0019672131147540984,0.0009836065573770492,0.0003278688524590164,0.0019672131147540984,0.0013114754098360656,0.0009836065573770492,0.0,0.005573770491803279
BOMI2_01_ostmanpanel_011118KV_resscan2,27,0.004347826086956522,0.005072463768115942,0.0018115942028985507,0.006884057971014493,0.011956521739130435,0.0007246376811594203,0.0014492753623188406,0.6663043478260869,0.005072463768115942,0.014855072463768116,0.0018115942028985507,0.1536231884057971,0.015579710144927537,0.06521739130434782,0.04528985507246377
BOMI2_01_ostmanpanel_011118KV_resscan2,28,0.027828191167574106,0.0006049606775559589,0.00030248033877797946,0.0205686630369026,0.04900181488203267,0.00030248033877797946,0.0015124016938898972,0.03901996370235935,0.043859649122807015,0.0006049606775559589,0.0012099213551119178,0.22111312764670296,0.38294010889292196,0.056866303690260134,0.1542649727767695
BOMI2_01_ostmanpanel_011118KV_resscan2,29,0.026753141467369273,0.0008107012565869477,0.002026753141467369,0.007296311309282529,0.02959059586542359,0.0008107012565869477,0.02107823267126064,0.09323064450749899,0.004864207539521687,0.002026753141467369,0.00040535062829347385,0.45642480745845154,0.10985002026753142,0.02959059586542359,0.21524118362383463
BOMI2_01_ostmanpanel_011118KV_resscan2,30,0.027470792548152826,0.0022102936532996525,0.009156930849384275,0.03694347963372276,0.05367856015156299,0.00473634354278497,0.06315124723713293,0.03347016103568046,0.005683612251341964,0.000947268708556994,0.0006315124723713293,0.3555415219450584,0.3425955162614462,0.04452162930217872,0.019261130407325546
BOMI2_01_ostmanpanel_011118KV_resscan2,31,0.10230692076228685,0.03610832497492478,0.029087261785356068,0.1715145436308927,0.07221664994984955,0.055165496489468405,0.044132397191574725,0.07622868605817452,0.0050150451354062184,0.0050150451354062184,0.0020060180541624875,0.25175526579739216,0.07422266800401203,0.05616850551654965,0.01905717151454363
BOMI2_01_ostmanpanel_011118KV_resscan2,32,0.22455322455322455,0.11732711732711733,0.14607614607614608,0.07226107226107226,0.04351204351204351,0.06371406371406371,0.17404817404817405,0.006216006216006216,0.002331002331002331,0.003108003108003108,0.000777000777000777,0.0979020979020979,0.010878010878010878,0.013986013986013986,0.023310023310023312
BOMI2_01_ostmanpanel_011118KV_resscan2,33,0.33636363636363636,0.025,0.11363636363636363,0.045454545454545456,0.04772727272727273,0.0,0.0022727272727272726,0.1431818181818182,0.10909090909090909,0.006818181818181818,0.022727272727272728,0.03636363636363636,0.075,0.0022727272727272726,0.03409090909090909
BOMI2_01_ostmanpanel_011118KV_resscan2,34,0.0013328890369876708,0.0,0.0,0.009663445518160613,0.006331222925691436,0.004665111629456847,0.00433188937020993,0.21692769076974341,0.019993335554815063,0.001999333555481506,0.0013328890369876708,0.3655448183938687,0.1826057980673109,0.050983005664778404,0.13428857047650783
