ID,PDGFRA-PDGFRB-FAP-SMA+PanEpiMask-,PDGFRA-PDGFRB-FAP+SMA-PanEpiMask-,PDGFRA-PDGFRB-FAP+SMA+PanEpiMask-,PDGFRA-PDGFRB+FAP-SMA-PanEpiMask-,PDGFRA-PDGFRB+FAP-SMA+PanEpiMask-,PDGFRA-PDGFRB+FAP+SMA-PanEpiMask-,PDGFRA-PDGFRB+FAP+SMA+PanEpiMask-,PDGFRA+PDGFRB-FAP-SMA-PanEpiMask-,PDGFRA+PDGFRB-FAP-SMA+PanEpiMask-,PDGFRA+PDGFRB-FAP+SMA-PanEpiMask-,PDGFRA+PDGFRB-FAP+SMA+PanEpiMask-,PDGFRA+PDGFRB+FAP-SMA-PanEpiMask-,PDGFRA+PDGFRB+FAP-SMA+PanEpiMask-,PDGFRA+PDGFRB+FAP+SMA-PanEpiMask-,PDGFRA+PDGFRB+FAP+SMA+PanEpiMask-,Str100_PDGFRA-PDGFRB-FAP-SMA+PanEpiMask-,Str100_PDGFRA-PDGFRB-FAP+SMA-PanEpiMask-,Str100_PDGFRA-PDGFRB-FAP+SMA+PanEpiMask-,Str100_PDGFRA-PDGFRB+FAP-SMA-PanEpiMask-,Str100_PDGFRA-PDGFRB+FAP-SMA+PanEpiMask-,Str100_PDGFRA-PDGFRB+FAP+SMA-PanEpiMask-,Str100_PDGFRA-PDGFRB+FAP+SMA+PanEpiMask-,Str100_PDGFRA+PDGFRB-FAP-SMA-PanEpiMask-,Str100_PDGFRA+PDGFRB-FAP-SMA+PanEpiMask-,Str100_PDGFRA+PDGFRB-FAP+SMA-PanEpiMask-,Str100_PDGFRA+PDGFRB-FAP+SMA+PanEpiMask-,Str100_PDGFRA+PDGFRB+FAP-SMA-PanEpiMask-,Str100_PDGFRA+PDGFRB+FAP-SMA+PanEpiMask-,Str100_PDGFRA+PDGFRB+FAP+SMA-PanEpiMask-,Str100_PDGFRA+PDGFRB+FAP+SMA+PanEpiMask-,Str100+_PDGFRA-PDGFRB-FAP-SMA+PanEpiMask-,Str100+_PDGFRA-PDGFRB-FAP+SMA-PanEpiMask-,Str100+_PDGFRA-PDGFRB-FAP+SMA+PanEpiMask-,Str100+_PDGFRA-PDGFRB+FAP-SMA-PanEpiMask-,Str100+_PDGFRA-PDGFRB+FAP-SMA+PanEpiMask-,Str100+_PDGFRA-PDGFRB+FAP+SMA-PanEpiMask-,Str100+_PDGFRA-PDGFRB+FAP+SMA+PanEpiMask-,Str100+_PDGFRA+PDGFRB-FAP-SMA-PanEpiMask-,Str100+_PDGFRA+PDGFRB-FAP-SMA+PanEpiMask-,Str100+_PDGFRA+PDGFRB-FAP+SMA-PanEpiMask-,Str100+_PDGFRA+PDGFRB-FAP+SMA+PanEpiMask-,Str100+_PDGFRA+PDGFRB+FAP-SMA-PanEpiMask-,Str100+_PDGFRA+PDGFRB+FAP-SMA+PanEpiMask-,Str100+_PDGFRA+PDGFRB+FAP+SMA-PanEpiMask-,Str100+_PDGFRA+PDGFRB+FAP+SMA+PanEpiMask-
1,0.1188632462,0.037535762,0.0053404539,0.0771886325,0.17612054170000002,0.4406828152,0.08682052259999999,0.0140186916,0.0273698264,0.0027083731,0.0013351135,0.0006675566999999999,0.006008010699999999,0.0053404539,0.0,0.3668272404,0.0010416667,0.0005208333,0.2469377219,0.3049326984,0.003003823,0.0021592823000000003,0.005246307800000001,0.0052209915,0.0,0.0,0.0335792429,0.0302697752,0.0002604167,0.0,0.28125,0.0,0.0,0.0,0.3020833333,0.0208333333,0.2604166667,0.0104166667,0.1145833333,0.0,0.0104166667,0.0,0.0,0.0,0.0
2,0.0226755853,0.3051237458,0.0370702341,0.0676923077,0.0840802676,0.4004548495,0.08189966559999999,0.0,0.0,0.0,0.0,0.0,0.0003344482,0.0003344482,0.0003344482,0.1076381695,0.0396824927,0.0057061341,0.08130945120000001,0.1770766125,0.4524922902,0.0840914876,0.0142653352,0.0213980029,0.0027879556,0.0007132667999999999,0.0007132667999999999,0.0064194009,0.0057061341,0.0,0.0,0.3087248322,0.0469798658,0.013422818799999998,0.0805369128,0.2818791946,0.2617449664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006711409399999999
4,0.090709583,0.1250914411,0.4484272129,0.0014630578,0.0036576445,0.0124359912,0.2582297001,0.0007315289,0.0014630578,0.004389173400000001,0.0146305779,0.0,0.0,0.0,0.0387710315,0.0109829764,0.5299286107,0.057660626,0.0032948929,0.0076880835,0.1438769907,0.2350356947,0.0021965953,0.0,0.006589785799999999,0.0005491488,0.0,0.0,0.0,0.0021965953,0.3316582915,0.0251256281,0.3417085427,0.0050251256,0.0201005025,0.0050251256,0.2010050251,0.0050251256,0.0050251256,0.0,0.0,0.0,0.0,0.0,0.0603015075
5,0.306129335,0.0630738503,0.1892775983,0.0180637221,0.1245653486,0.016222079599999998,0.1492268272,0.0213258015,0.0304864586,0.0015347965,0.0135023591,0.0188246097,0.0295902643,0.0031658361,0.0150111133,0.2881669667,0.0531977962,0.1835326687,0.0228614733,0.1303276207,0.0175639931,0.16969159670000006,0.0203106332,0.0314340725,0.0013560969,0.012575623300000002,0.0197132616,0.028329372,0.0034926747,0.0174461504,0.366697995,0.1033834586,0.2147556391,0.001984127,0.1053153718,0.0109649123,0.0689223058,0.024906015,0.0270989975,0.001984127,0.0173350042,0.015873015900000002,0.0337301587,0.001984127,0.0050647452
6,0.0456964316,0.2848748176,0.08839925929999999,0.0071295025,0.0330247181,0.1712714634,0.3213785097,0.0040355386,0.0015066723999999998,0.0055821385,0.0045333264,0.0019371502,0.0020850792,0.0100622282,0.0184831642,0.0090986249,0.047187530599999986,0.0192175704,0.0132197397,0.0070395994999999986,0.0264241592,0.0319148936,0.2686767698,0.015968170900000002,0.0370624571,0.0109814688,0.25441219730000003,0.0769162418,0.1231983528,0.0586822237,0.0642566474,0.2592826555,0.1117460196,0.0035425101,0.0467794418,0.1842261078,0.2836725114,0.0035425101,0.0020242915,0.00588752,0.0062082384,0.0030364371999999995,0.0038632285,0.0053314566,0.0166004238
7,0.2286241336,0.005836627099999999,0.0204168579,0.0036291722,0.0055641242,0.0,0.0008221272,0.225321209,0.3092330452,0.0233600844,0.0480510519,0.0594744768,0.052375267300000014,0.0069812229,0.0103106,0.2642971009,0.007399830899999999,0.023480031,0.0049233249,0.0060332246,0.0,0.0011098998,0.2441061053,0.2711635612,0.0272667626,0.044286972300000005,0.0584886503,0.0339817936,0.0068879148,0.0065748278,0.1252352151,0.0010416667,0.0106182796,0.0,0.0042674731,0.0,0.0,0.1703629032,0.4193884409000001,0.0104502688,0.0578965054,0.0628024194,0.1086357527,0.0072916667,0.0220094086
8,0.2926480046,0.0167511951,0.0638168658,0.0258275132,0.08310297230000001,0.0389776484,0.2287770745,0.0375804383,0.0958308417,0.0035323276,0.0067153528,0.0260730122,0.0423591601,0.0075282920999999985,0.0304793014,0.2117440467,0.0123633345,0.0518432071,0.0249399525,0.1087051394,0.0469349518,0.33733522479999994,0.0305241524,0.0556412943,0.0062497539,0.0018271288,0.0275020891,0.0356713946,0.0105362057,0.0381821244,0.3587113188,0.017447811,0.07225006889999999,0.024930459300000003,0.0680322493,0.0266629106,0.1501875443,0.0432470647,0.1266459001,0.0020800832,0.0114981109,0.0207702929,0.0475208251,0.0045354833,0.0254798776
9,0.0405341292,0.0104147536,0.0188781757,0.0279078665,0.0227808387,0.0090603,0.0243342516,0.2927150291,0.1016299357,0.0154729109,0.0575298439,0.1031603918,0.1137052342,0.0383226201,0.123553719,0.08472570730000001,0.0495104551,0.0524305043,0.230295203,0.0749077491,0.040597786,0.0722681427,0.0419876999,0.0402829028,0.018297663,0.0104551046,0.0892201722,0.0856703567,0.06752275519999999,0.0418277983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.25
10,0.3319142043,0.0430974052,0.115953951,0.0556434564,0.0886212059,0.0193182874,0.083425104,0.0266240099,0.0437475399,0.0088940192,0.0297143609,0.0381887779,0.0453070891,0.0187123795,0.0508382093,0.3430712253,0.0418469874,0.1173873781,0.0513974144,0.0909719603,0.0182161106,0.0864613696,0.0255283884,0.0434758753,0.007584330699999998,0.0290890802,0.0332727501,0.0427820262,0.017920053000000002,0.0509950505,0.2285759684,0.0527700293,0.1072878783,0.0938349635,0.0650753858,0.0292009463,0.0589491896,0.037074962,0.0494332827,0.0207796335,0.0359274037,0.0802761202,0.0662229441,0.0246636771,0.0499276156
12,0.3443263201,0.0009675859,0.0004837929,0.2837159393,0.2699319539,0.0025325615,0.0015691764000000002,0.0076733866,0.0071348956000000015,0.0,0.0,0.0460803145,0.0353421767,0.0002418965,0.0,0.0391417724,0.2145818154,0.2747373164,0.0208603367,0.0407869003,0.0454164589,0.16879529850000002,0.0905146298,0.0049315489,0.0228160831,0.0181759788,0.0165835794,0.011704759,0.0100299114,0.0209236108,0.23541129510000006,0.0,0.0,0.33424376170000003,0.17310885809999998,0.0016059957,0.0,0.0223601218,0.0311475768,0.0,0.0,0.0956423255,0.1064800653,0.0,0.0
