glass,spot,PDGFRA-PDGFRB-FAP-SMA+PanEpiMask-,PDGFRA-PDGFRB-FAP+SMA-PanEpiMask-,PDGFRA-PDGFRB-FAP+SMA+PanEpiMask-,PDGFRA-PDGFRB+FAP-SMA-PanEpiMask-,PDGFRA-PDGFRB+FAP-SMA+PanEpiMask-,PDGFRA-PDGFRB+FAP+SMA-PanEpiMask-,PDGFRA-PDGFRB+FAP+SMA+PanEpiMask-,PDGFRA+PDGFRB-FAP-SMA-PanEpiMask-,PDGFRA+PDGFRB-FAP-SMA+PanEpiMask-,PDGFRA+PDGFRB-FAP+SMA-PanEpiMask-,PDGFRA+PDGFRB-FAP+SMA+PanEpiMask-,PDGFRA+PDGFRB+FAP-SMA-PanEpiMask-,PDGFRA+PDGFRB+FAP-SMA+PanEpiMask-,PDGFRA+PDGFRB+FAP+SMA-PanEpiMask-,PDGFRA+PDGFRB+FAP+SMA+PanEpiMask-
BOMI1_1_ostmanpanel_1-ImageExport-01,1,0.3912721893,0.0177514793,0.111316568,0.0051775148,0.0240384615,0.0044378698,0.0321745562,0.1431213018,0.1061390533,0.0269970414,0.038091716,0.0155325444,0.037352071,0.0099852071,0.036612426
BOMI1_1_ostmanpanel_1-ImageExport-01,2,0.1251655629,0.2,0.0860927152,0.0291390728,0.0251655629,0.019205298,0.0238410596,0.2602649007,0.0496688742,0.0913907285,0.0317880795,0.0251655629,0.0132450331,0.0099337748,0.0099337748
BOMI1_1_ostmanpanel_1-ImageExport-01,3,0.0871794872,0.041025641,0.0384615385,0.0115384615,0.2679487179,0.0076923077,0.1666666667,0.0435897436,0.0705128205,0.0192307692,0.0179487179,0.0038461538,0.1653846154,0.0012820513,0.0576923077
BOMI1_1_ostmanpanel_1-ImageExport-01,4,0.3131868132,0.0906593407,0.0467032967,0.1318681319,0.0576923077,0.0906593407,0.0686813187,0.1208791209,0.010989011,0.0027472527,0,0.0357142857,0.0082417582,0.010989011,0.010989011
BOMI1_1_ostmanpanel_1-ImageExport-01,5,0.081511671,0,0,0.1541311597,0.1837717673,0.0014820304,0.0029640608,0.0125972582,0.0259355317,0,0,0.3460540941,0.1900703964,0.0007410152,0.0007410152
BOMI1_1_ostmanpanel_1-ImageExport-01,6,0.0008025682,0,0,0.0321027287,0.0024077047,0,0,0.4101123596,0.0008025682,0,0,0.5136436597,0.0401284109,0,0
BOMI1_1_ostmanpanel_1-ImageExport-01,7,0.1335098336,0,0,0.299924357,0.1758698941,0.0007564297,0.0003782148,0.0147503782,0.0155068079,0,0,0.2579425113,0.0998487141,0,0.0015128593
BOMI1_1_ostmanpanel_1-ImageExport-01,8,0.0321755027,0,0.0003656307,0.1272394881,0.4460694698,0,0.0007312614,0.0080438757,0.0080438757,0,0,0.0895795247,0.2877513711,0,0
BOMI1_1_ostmanpanel_1-ImageExport-01,9,0.0295302013,0,0,0.2134228188,0.0704697987,0,0,0.0845637584,0.0255033557,0,0,0.4483221477,0.1281879195,0,0
BOMI1_1_ostmanpanel_1-ImageExport-01,10,0.375,0,0,0.25,0,0,0,0.375,0,0,0,0,0,0,0
BOMI1_1_ostmanpanel_1-ImageExport-01,11,0.3153089888,0.0393258427,0.1362359551,0.0014044944,0.0351123596,0.0028089888,0.0168539326,0.1193820225,0.1573033708,0.0154494382,0.0870786517,0.0021067416,0.033005618,0.0028089888,0.0358146067
BOMI1_1_ostmanpanel_1-ImageExport-01,12,0.1191756272,0.1370967742,0.0456989247,0.1711469534,0.0779569892,0.0555555556,0.0743727599,0.1317204301,0.0483870968,0.0698924731,0.0143369176,0.017921147,0.0098566308,0.0170250896,0.0098566308
BOMI1_1_ostmanpanel_1-ImageExport-01,13,0.1202263083,0.0664780764,0.0636492221,0.0070721358,0.0650636492,0.0099009901,0.053748232,0.0297029703,0.1768033946,0.018387553,0.0650636492,0.0014144272,0.1909476662,0.0014144272,0.1301272984
